Supplier Name,Invoice Number,Part Number,Cost,Purchase Date
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,2341,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier X,001-1001,5467,600.0,2014-01-22
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9501,7009,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Y,50-9505,6650,200.0,2014-02-01
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
