,store,sido,gungu,store_address
0,경기광주시오포2호점,경기,광주시,경기도광주시오포읍오포로347
1,경기광주시태전점,경기,광주시,경기도광주시태봉로20
2,경기구리시교문점,경기,구리시,경기구리시안골로20번길6
3,경기구리시수택점,경기,구리시,경기도구리시원수택로45
4,경기구리시인창점,경기,구리시,경기도구리시건원대로99번길80
5,경기군포시군포점,경기,군포시,경기도군포시군포로490번길12
6,경기군포시금정점,경기,군포시,경기도군포시당산로197번길4
7,경기군포시대야미점,경기,군포시,경기도군포시대야1로13
8,경기군포시산본목련점,경기,군포시,경기도군포시고산로643번길9
9,경기군포시산본역점[B],경기,군포시,경기도군포시쟁골2길16
10,경기김포시고촌점,경기,김포시,경기도김포시고촌읍은행영사정로35102
11,경기김포시김포1호점,경기,김포시,경기도김포시관순로28
12,경기김포시마송점,경기,김포시,경기도김포시통진읍조강로102
13,경기김포시양곡점,경기,김포시,경기도김포시김포한강9로121
14,경기김포시장기점,경기,김포시,경기도김포시김포한강3로290-16
15,경기김포시풍무점,경기,김포시,경기도김포시양도로18
16,경기남양주시광릉내점,경기,남양주시,경기도남양주시진접읍광릉내로82번길27
17,경기남양주시금곡점,경기,남양주시,경기도남양주시경춘로992번길1
18,경기남양주시덕소2호점,경기,남양주시,경기도남양주시와부읍수레로59
19,경기남양주시덕소점[B],경기,남양주시,경기도남양주시와부읍덕소로284번길10-7
20,경기남양주시도농점,경기,남양주시,경기도남양주시미금로42번길20-1
21,경기남양주시별내2호점,경기,남양주시,경기남양주시두물로39번길22-14
22,경기남양주시별내점,경기,남양주시,경기도남양주시별내3로63
23,경기남양주시사능점,경기,남양주시,경기도남양주시진건읍진건오남로86번길36
24,경기남양주시수동점,경기,남양주시,경기도남양주시수동면비룡로788
25,경기남양주시오남리점,경기,남양주시,경기도남양주시오남읍진건오남로595-22
26,경기남양주시월산점,경기,남양주시,경기도남양주시화도읍경춘로2186
27,경기남양주시진접지구점,경기,남양주시,경기도남양주시진접읍해밀예당2로125
28,경기남양주시창현점,경기,남양주시,경기도남양주시화도읍수레로1234-26
29,경기남양주시천마산점,경기,남양주시,경기남양주시화도읍먹갓로28번길15
30,경기남양주시퇴계원점,경기,남양주시,경기남양주시퇴계원면퇴계원로78번길3-2
31,경기남양주시평내점,경기,남양주시,경기도남양주시경춘로1286번안길24
32,경기남양주시호평점,경기,남양주시,경기남양주시천마산로16번길2
33,경기동두천시생연점,경기,동두천시,경기도동두천시삼육사로980
34,경기동두천시송내지구점,경기,동두천시,경기도동두천시동두천로149
35,경기동두천시중앙점,경기,동두천시,경기도동두천시동광로81번길15
36,경기부천시고강점,경기,부천시,경기도부천시오정구역곡로472번길31
37,경기부천시범박점,경기,부천시,경기도부천시소사구소사동로93
38,경기부천시상동북부점,경기,부천시,경기도부천시원미구송내대로265번길37
39,경기부천시상동점,경기,부천시,경기부천시조마루로105번길8-8
40,경기부천시소사점,경기,부천시,경기도부천시소사구은성로68번길23
41,경기부천시송내점,경기,부천시,경기도부천시소사구송내대로30번길71
42,경기부천시심곡북부점,경기,부천시,경기도부천시원미구부흥로450
43,경기부천시심곡점,경기,부천시,경기도부천시소사구심곡로67번길67
44,경기부천시여월점,경기,부천시,경기부천시삼작로335
45,경기부천시역곡남부점,경기,부천시,경기도부천시소사구부광로23
46,경기부천시역곡점,경기,부천시,경기도부천시원미구역곡로20번길86
47,경기부천시오정점,경기,부천시,경기도부천시오정구부천로478번길96
48,경기부천시원미점,경기,부천시,경기도부천시원미구조마루로386번길26
49,경기부천시원종점,경기,부천시,경기도부천시오정구소사로775번길50
50,경기부천시중동1점,경기,부천시,경기부천시중동로171번길13-1
51,경기부천시중동약대점,경기,부천시,경기도부천시원미구도약로221번길64
52,경기성남시구미점,경기,성남시,경기도성남시분당구미금로45
53,경기성남시금광점,경기,성남시,경기도성남시중원구산성대로382번길58
54,경기성남시도촌점,경기,성남시,경기도성남시중원구도촌로12
55,경기성남시동판교점[B],경기,성남시,경기성남시분당구동판교로52번길17-4
56,경기성남시상대원점,경기,성남시,경기도성남시중원구박석로93번길2-1
57,경기성남시서판교점,경기,성남시,경기성남시분당구판교로25번길22-6
58,경기성남시서현점[B],경기,성남시,경기도성남시분당구중앙공원로54234동104호
59,경기성남시성남점,경기,성남시,경기성남시중원구원터로105번길8
60,경기성남시수내점[B],경기,성남시,경기성남시분당구발이봉북로24번길1
61,경기성남시수진점,경기,성남시,경기도성남시수정구산성대로157번길27-2
62,경기성남시신흥점,경기,성남시,경기도성남시수정구수정남로236-1
63,경기성남시야탑점,경기,성남시,경기성남시분당구매화로48번길12-6
64,경기성남시위례중앙점,경기,성남시,경기성남시수정구위례서일로1길21-8
65,경기성남시이매점,경기,성남시,경기도성남시분당구성남대로779번길52
66,경기성남시정자2호점,경기,성남시,경기도성남시분당구정자로143
67,경기성남시정자점,경기,성남시,경기도성남시분당구백현로152
68,경기성남시태평점,경기,성남시,경기성남시수정구탄리로132번길9
69,경기수원시고색오목점,경기,수원시,경기도수원시권선구고산로27번길43
70,경기수원시곡반정점,경기,수원시,경기도수원시권선구곡선로50번길22-10
71,경기수원시광교1호점,경기,수원시,경기수원시영통구법조로149번길171
72,경기수원시구운탑동점,경기,수원시,경기도수원시권선구구운로57번길3
73,경기수원시권선점[B],경기,수원시,경기수원시권선구권중로56번길35
74,경기수원시매교세류점,경기,수원시,경기도수원시팔달구효원로73
75,경기수원시매탄2동점,경기,수원시,경기도수원시영통구산남로74
76,경기수원시매탄권선점,경기,수원시,경기도수원시영통구권선로811
77,경기수원시세류2호점,경기,수원시,경기도수원시권선구덕영대로1152번길38
78,경기수원시신매탄점,경기,수원시,경기수원시영통구매탄로140번길54-2
79,경기수원시신영통점,경기,수원시,경기도수원시영통구태장로7번길6
80,경기수원시연무점[B],경기,수원시,경기수원시장안구연무로33
81,경기수원시영통1호점,경기,수원시,경기수원시영통구매영로398번길4
82,경기수원시영화점[B],경기,수원시,경기수원시장안구장안로30
83,경기수원시우만점,경기,수원시,경기도수원시팔달구중부대로223번길20-7
84,경기수원시율천점,경기,수원시,경기도수원시장안구율전로80번길5
85,경기수원시인계점,경기,수원시,경기수원시팔달구장다리로245번길21
86,경기수원시인계중앙점,경기,수원시,경기수원시팔달구권광로243
87,경기수원시정자1동점,경기,수원시,경기도수원시장안구대평로162번길50
88,경기수원시정자2동점,경기,수원시,경기수원시장안구수성로245번길30
89,경기수원시조원점,경기,수원시,경기도수원시장안구조원로107
90,경기수원시호매실점,경기,수원시,경기도수원시권선구매실로34
91,경기수원시화서꽃뫼점,경기,수원시,경기도수원시팔달구일월로18번길4-13
92,경기수원시화서점,경기,수원시,경기수원시팔달구팔달로119번길34-1
93,경기시흥시거모점[B],경기,시흥시,경기도시흥시한우물로25
94,경기시흥시능곡점,경기,시흥시,경기도시흥시장현능곡로178
95,경기시흥시목감점,경기,시흥시,경기시흥시논곡길1
96,경기시흥시시화점,경기,시흥시,경기도시흥시중심상가로39
97,경기시흥시신천점[B],경기,시흥시,경기시흥시신천로100번안길10
98,경기시흥시연성2지구점,경기,시흥시,경기시흥시장곡로15
99,경기시흥시오이도역점,경기,시흥시,경기도시흥시함송로24
