,store_name,store_address,store_tel
0,직영 대전농협하나로마트점,대전광역시 중구 대둔산로199번길 43,T 
1,직영 홍은사거리점,서울특별시 서대문구 통일로 484  1층(홍은동 유진상가),T 02-391-6231
2,직영 경주월드공원점,경상북도 경주시 보문로 544,T 
3,직영 원주세브란스기독병원점,강원도 원주시 일산 157-2외 27필지 원주기독병원내,T 033-731-7898
4,직영 경북대병원간이휴게소동점,"대구광역시 중구 동덕로 130 (삼덕동 2가, 경북대병원 간이휴게소동 지상)",T 
5,직영 영대병원점,대구광역시 남구 현충로 170 호흡기전문질환센터 지상 2층,T 
6,직영 고려대중앙광장점,서울특별시 성북구 안암로 145 고려대학교 중앙광장 지하1층 101호,T 02-925-6232
7,직영 연세원주장례사업소점,강원도 원주시 일산로 20  지상1층,T 
8,직영 청담역점,서울특별시 강남구 영동대로 647 청담역 푸르지오시티 1층,T 02-3448-1633
9,직영 부산수영점,부산광역시 수영구 수영동 450-9,T 051-754-6173
10,직영 한양사이버대점,서울특별시 성동구 왕십리로 222 한양사이버대학교 2관 1층,T 02-2291-6232
11,한양대에리카2호점,경기도 안산시 상록구 한양대학로 55 3층 305호,T 
12,사당역점,서울특별시 관악구 남현동 1060-4 지상1층,T 02-521-5232
13,부천워터파크점,경기도 부천시 원미구 상동 572-1 웅진플레이도시스포츠 AD103~105,T 032-328-6232
14,인천연수대동점,인천광역시 연수구 연수동 625-13,T 032-813-6232
15,양재역점,서울특별시 강남구 도곡동 953-3 1층 101호,T 02-3462-6232
16,인천부평우체국점,인천광역시 부평구 부평동 440-5 여산빌A-102,T 032-516-6232
17,인천주안점,인천광역시 남구 주안동 190-8 유경빌딩 1층  지하1층,T 032-867-5588
18,인천부평로데오점,인천광역시 부평구 부평동 153-4,T 032-522-6232
19,인천계산역점,인천광역시 계양구 계산동 928-29 1층 계산동빌딩(신세계빌딩),T 032-556-6232
20,부천역점,경기도 부천시 원미구 심곡동 382-12,T 032-663-6232
21,목동신정교점,서울특별시 양천구 신정동 296-28,T 02-2652-6237
22,대방역점,서울특별시 동작구 대방동 354-1 공군관사내 1층 101호 102호,T 02-821-6232
23,목동역점,서울특별시 양천구 신정동 900-21 1층,T 02-2699-6232
24,마포용강팰리스점,서울특별시 마포구 용강동 112-2 1층,T 02-716-6232
25,면목홈플러스점,서울특별시 중랑구 면목동 168-2 1층,T 02-433-9717
26,증미역점,서울특별시 강서구 등촌동 631 두산위브1층(101 102호),T 02-2668-0076
27,광명소하점,경기도 광명시 소하동 1345 테크노파크,T 02-2083-2835
28,인천숭의점,인천광역시 남구 숭의동 303-7 숭의교회,T 070-8231-0174
29,인천작전역점,인천광역시 계양구 작전동 422-3외 2필지 덕용프라자 106호,T 032-543-6232
30,대림점,서울특별시 영등포구 대림동 779-10,T 02-831-6232
31,영등포점,서울특별시 영등포구 영등포동3가 9-4,T 02-2631-6232
32,방화역점,서울특별시 강서구 방화동 829-5 에어뷰21,T 02-2064-0717
33,발산역점,서울특별시 강서구 등촌동 678-10 재영빌딩,T 02-3664-6232
34,등촌역점,서울특별시 강서구 등촌동 507-8 에이큐빌딩 1층 101호,T 02-2645-3262
35,원주메가박스점,강원도 원주시 서원대로 165-3301(단계동 아트스페이스빌딩3층),T 070-7577-5804
36,건대스타시티점,서울특별시 광진구 자양동 227-7 스타시티 122 123호,T 02-2024-8890
37,청량리역점,서울특별시 동대문구 전농동 591-1,T 02-960-6232
38,저동점,서울특별시 중구 저동2가 73-4 저동빌딩 1층,T 02-2263-1393
39,안산선부점,경기도 안산시 단원구 선부동 1070-18 상록타운 115,T 031-486-6232
40,구의점,서울특별시 광진구 구의동 246-18,T 02-456-6232
41,서대문역점,서울특별시 종로구 교남동 10,T 02-735-5670
42,직영 건대역사거리점,서울특별시 광진구 자양동 1-1 2층,T 02-462-6232
